stage,variant_name,variant,dataset,simulation_days,run_id,status,official_net,gross_income,distance_cost,gross_minus_cost,preference_penalty,official_net_delta_vs_b0,gross_delta_vs_b0,preference_penalty_delta_vs_b0,expected_official_net,score_accounting_ok,take_count,wait_count,reposition_count,query_minutes,query_minutes_per_take,qwen_compile_calls,qwen_compile_cache_hits,qwen_compile_or_cache_hit_count,qwen_link_calls,qwen_link_or_cache_hit_count,qwen_auditor_calls,qwen_audit_adjustment_nonzero_count,controller_scored_candidate_count,candidate_rule_eval_count,score_changed_by_controller_count,changed_decision_count,hard_block_count,soft_penalty_count,repair_value_count,visible_graph_used_count,terminal_value_used_count,income_abort_count,illegal_count,rejected_take_count,simulation_failures,abort_count,failure_count,objective_score,keep_or_kill,params_json,env_json,notes,command,exit_code,started_at,finished_at,duration_seconds,variant_key,trial_id,params_hash,run_dir,repair_trigger_count,repair_minutes_total,repair_wait_minutes_per_day_p50,repair_wait_minutes_per_day_p90,repair_wait_minutes_per_day_max,b0_shadow_override_count,b0_shadow_fallback_count,net_delta_vs_b0,penalty_delta_vs_b0,auditor_adjustment_nonzero,controller_score_changed,json_valid_rate,graph_alpha,package_candidate,top5_0509_sanity,fallback_to_b0,default_variant_verified,selected_reason
S0509,S0509_top5_rank_2_trial_001,fuse_targeted_repair,20260509,31,runs/fuse/sanity0509/20260509/top2_trial_001,EXECUTED,86900.14,275149.51,89999.36,185150.15,98250.0,,,,86900.15,True,378,814,0,15899,42.06,25,2372,2397,1158,3530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30700.14,kill_internal_failure,"{""already_failed_discount"":0.0,""cap_discount"":0.0,""gross_floor_curve"":""off"",""lost_gross_cap"":500,""max_repair_wait_per_day"":60,""min_profit_to_override_repair"":100,""qwen_auditor_numeric"":0,""repair_end_day"":20,""repair_roi_threshold"":0.8,""repair_start_day"":1,""repair_value_scale"":0.25,""soft_violation_profit_threshold"":200,""source_20260529_official_net"":""5067.69"",""source_20260529_trial"":""trial_001"",""unknown_soft_risk"":0.05,""verified_penalty_scale"":0.5,""wait_repair_strength"":0.05}","{""CROWN_FUSE_ALREADY_FAILED_DISCOUNT"":""0.0"",""CROWN_FUSE_AUDITOR_NUMERIC"":""0"",""CROWN_FUSE_CAP_DISCOUNT"":""0.0"",""CROWN_FUSE_ENABLE_TARGETED_REPAIR"":""1"",""CROWN_FUSE_GROSS_FLOOR_CURVE"":""off"",""CROWN_FUSE_LOST_GROSS_CAP"":""500"",""CROWN_FUSE_MAX_REPAIR_WAIT_PER_DAY"":""60"",""CROWN_FUSE_MIN_PROFIT_TO_OVERRIDE_REPAIR"":""100"",""CROWN_FUSE_REPAIR_END_DAY"":""20"",""CROWN_FUSE_REPAIR_ROI_THRESHOLD"":""0.8"",""CROWN_FUSE_REPAIR_START_DAY"":""1"",""CROWN_FUSE_REPAIR_VALUE_SCALE"":""0.25"",""CROWN_FUSE_SOFT_VIOLATION_PROFIT_THRESHOLD"":""200"",""CROWN_FUSE_UNKNOWN_SOFT_RISK"":""0.05"",""CROWN_FUSE_VERIFIED_PENALTY_SCALE"":""0.5"",""CROWN_FUSE_WAIT_REPAIR_STRENGTH"":""0.05""}",Full 20260509 sanity for a top-five executed 20260529 Fuse config.,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant fuse_targeted_repair --results-dir runs\fuse\sanity0509\20260509\top2_trial_001 --data-dir C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo\server\data --skip-income && C:\Anaconda3\python.exe C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo\calc_monthly_income.py --project-root C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo --results-dir runs\fuse\sanity0509\20260509\top2_trial_001,0,2026-06-03T17:21:00,2026-06-03T17:45:17,1456.34,S0509,trial_001_0509,d8e506b5958d,runs/fuse/sanity0509/20260509/top2_trial_001,0,0,0.0,0.0,0,0,1192,,,0,0,0.0,,true,true,false,false,top5_20260529_rank_2
S0509,S0509_top5_rank_3_trial_002,fuse_targeted_repair,20260509,31,runs/fuse/sanity0509/20260509/top3_trial_002,EXECUTED,86900.14,275149.51,89999.36,185150.15,98250.0,,,,86900.15,True,378,814,0,15899,42.06,24,2372,2396,1158,3530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30700.14,kill_internal_failure,"{""already_failed_discount"":0.25,""cap_discount"":0.25,""gross_floor_curve"":""mild"",""lost_gross_cap"":500,""max_repair_wait_per_day"":60,""min_profit_to_override_repair"":200,""qwen_auditor_numeric"":0,""repair_end_day"":24,""repair_roi_threshold"":0.8,""repair_start_day"":8,""repair_value_scale"":0.25,""soft_violation_profit_threshold"":500,""source_20260529_official_net"":""5067.69"",""source_20260529_trial"":""trial_002"",""unknown_soft_risk"":0.1,""verified_penalty_scale"":0.5,""wait_repair_strength"":0.05}","{""CROWN_FUSE_ALREADY_FAILED_DISCOUNT"":""0.25"",""CROWN_FUSE_AUDITOR_NUMERIC"":""0"",""CROWN_FUSE_CAP_DISCOUNT"":""0.25"",""CROWN_FUSE_ENABLE_TARGETED_REPAIR"":""1"",""CROWN_FUSE_GROSS_FLOOR_CURVE"":""mild"",""CROWN_FUSE_LOST_GROSS_CAP"":""500"",""CROWN_FUSE_MAX_REPAIR_WAIT_PER_DAY"":""60"",""CROWN_FUSE_MIN_PROFIT_TO_OVERRIDE_REPAIR"":""200"",""CROWN_FUSE_REPAIR_END_DAY"":""24"",""CROWN_FUSE_REPAIR_ROI_THRESHOLD"":""0.8"",""CROWN_FUSE_REPAIR_START_DAY"":""8"",""CROWN_FUSE_REPAIR_VALUE_SCALE"":""0.25"",""CROWN_FUSE_SOFT_VIOLATION_PROFIT_THRESHOLD"":""500"",""CROWN_FUSE_UNKNOWN_SOFT_RISK"":""0.1"",""CROWN_FUSE_VERIFIED_PENALTY_SCALE"":""0.5"",""CROWN_FUSE_WAIT_REPAIR_STRENGTH"":""0.05""}",Full 20260509 sanity for a top-five executed 20260529 Fuse config.,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant fuse_targeted_repair --results-dir runs\fuse\sanity0509\20260509\top3_trial_002 --data-dir C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo\server\data --skip-income && C:\Anaconda3\python.exe C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo\calc_monthly_income.py --project-root C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo --results-dir runs\fuse\sanity0509\20260509\top3_trial_002,0,2026-06-03T17:45:18,2026-06-03T18:11:10,1552.81,S0509,trial_002_0509,ff3df5415d5c,runs/fuse/sanity0509/20260509/top3_trial_002,0,0,0.0,0.0,0,0,1192,,,0,0,0.0,,true,true,false,false,top5_20260529_rank_3
S0509,S0509_top5_rank_4_trial_003,fuse_targeted_repair,20260509,31,runs/fuse/sanity0509/20260509/top4_trial_003,EXECUTED,86900.14,275149.51,89999.36,185150.15,98250.0,,,,86900.15,True,378,814,0,15899,42.06,24,2372,2396,1158,3530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30700.14,kill_internal_failure,"{""already_failed_discount"":0.5,""cap_discount"":0.5,""gross_floor_curve"":""medium"",""lost_gross_cap"":500,""max_repair_wait_per_day"":60,""min_profit_to_override_repair"":350,""qwen_auditor_numeric"":0,""repair_end_day"":28,""repair_roi_threshold"":0.8,""repair_start_day"":12,""repair_value_scale"":0.25,""soft_violation_profit_threshold"":1000,""source_20260529_official_net"":""5067.69"",""source_20260529_trial"":""trial_003"",""unknown_soft_risk"":0.25,""verified_penalty_scale"":0.5,""wait_repair_strength"":0.05}","{""CROWN_FUSE_ALREADY_FAILED_DISCOUNT"":""0.5"",""CROWN_FUSE_AUDITOR_NUMERIC"":""0"",""CROWN_FUSE_CAP_DISCOUNT"":""0.5"",""CROWN_FUSE_ENABLE_TARGETED_REPAIR"":""1"",""CROWN_FUSE_GROSS_FLOOR_CURVE"":""medium"",""CROWN_FUSE_LOST_GROSS_CAP"":""500"",""CROWN_FUSE_MAX_REPAIR_WAIT_PER_DAY"":""60"",""CROWN_FUSE_MIN_PROFIT_TO_OVERRIDE_REPAIR"":""350"",""CROWN_FUSE_REPAIR_END_DAY"":""28"",""CROWN_FUSE_REPAIR_ROI_THRESHOLD"":""0.8"",""CROWN_FUSE_REPAIR_START_DAY"":""12"",""CROWN_FUSE_REPAIR_VALUE_SCALE"":""0.25"",""CROWN_FUSE_SOFT_VIOLATION_PROFIT_THRESHOLD"":""1000"",""CROWN_FUSE_UNKNOWN_SOFT_RISK"":""0.25"",""CROWN_FUSE_VERIFIED_PENALTY_SCALE"":""0.5"",""CROWN_FUSE_WAIT_REPAIR_STRENGTH"":""0.05""}",Full 20260509 sanity for a top-five executed 20260529 Fuse config.,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant fuse_targeted_repair --results-dir runs\fuse\sanity0509\20260509\top4_trial_003 --data-dir C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo\server\data --skip-income && C:\Anaconda3\python.exe C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo\calc_monthly_income.py --project-root C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo --results-dir runs\fuse\sanity0509\20260509\top4_trial_003,0,2026-06-03T18:11:11,2026-06-03T18:38:14,1622.81,S0509,trial_003_0509,67eff9177a04,runs/fuse/sanity0509/20260509/top4_trial_003,0,0,0.0,0.0,0,0,1192,,,0,0,0.0,,true,true,false,false,top5_20260529_rank_4
S0509,S0509_top5_rank_5_trial_004,fuse_targeted_repair,20260509,31,runs/fuse/sanity0509/20260509/top5_trial_004,EXECUTED,87849.47,279054.43,91984.95,187069.48,99220.0,,,,87849.48,True,376,890,0,17279,45.95,24,2520,2544,1232,3752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30873.47,kill_internal_failure,"{""already_failed_discount"":0.0,""cap_discount"":0.0,""gross_floor_curve"":""off"",""lost_gross_cap"":4000,""max_repair_wait_per_day"":360,""min_profit_to_override_repair"":100,""qwen_auditor_numeric"":0,""repair_end_day"":31,""repair_roi_threshold"":0.8,""repair_start_day"":1,""repair_value_scale"":1.0,""soft_violation_profit_threshold"":200,""source_20260529_official_net"":""5067.69"",""source_20260529_trial"":""trial_004"",""unknown_soft_risk"":0.05,""verified_penalty_scale"":1.0,""wait_repair_strength"":0.5}","{""CROWN_FUSE_ALREADY_FAILED_DISCOUNT"":""0.0"",""CROWN_FUSE_AUDITOR_NUMERIC"":""0"",""CROWN_FUSE_CAP_DISCOUNT"":""0.0"",""CROWN_FUSE_ENABLE_TARGETED_REPAIR"":""1"",""CROWN_FUSE_GROSS_FLOOR_CURVE"":""off"",""CROWN_FUSE_LOST_GROSS_CAP"":""4000"",""CROWN_FUSE_MAX_REPAIR_WAIT_PER_DAY"":""360"",""CROWN_FUSE_MIN_PROFIT_TO_OVERRIDE_REPAIR"":""100"",""CROWN_FUSE_REPAIR_END_DAY"":""31"",""CROWN_FUSE_REPAIR_ROI_THRESHOLD"":""0.8"",""CROWN_FUSE_REPAIR_START_DAY"":""1"",""CROWN_FUSE_REPAIR_VALUE_SCALE"":""1.0"",""CROWN_FUSE_SOFT_VIOLATION_PROFIT_THRESHOLD"":""200"",""CROWN_FUSE_UNKNOWN_SOFT_RISK"":""0.05"",""CROWN_FUSE_VERIFIED_PENALTY_SCALE"":""1.0"",""CROWN_FUSE_WAIT_REPAIR_STRENGTH"":""0.5""}",Full 20260509 sanity for a top-five executed 20260529 Fuse config.,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant fuse_targeted_repair --results-dir runs\fuse\sanity0509\20260509\top5_trial_004 --data-dir C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo\server\data --skip-income && C:\Anaconda3\python.exe C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo\calc_monthly_income.py --project-root C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo --results-dir runs\fuse\sanity0509\20260509\top5_trial_004,0,2026-06-03T18:38:15,2026-06-03T19:08:23,1808.15,S0509,trial_004_0509,93c4a7c3cc4c,runs/fuse/sanity0509/20260509/top5_trial_004,81,27000,1080.0,1080.0,3240,81,1185,,,0,0,0.0,,true,true,false,false,top5_20260529_rank_5
S0509,S0509_top5_rank_1_trial_017,fuse_targeted_repair,20260509,31,runs/fuse/sanity0509/20260509/top1_trial_017,EXECUTED,63092.22,219742.15,72389.93,147352.22,84260.0,,,,63092.22,True,307,703,0,13771,44.86,24,2008,2032,972,2980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18084.22,kill_internal_failure,"{""already_failed_discount"":0.0,""cap_discount"":0.0,""gross_floor_curve"":""off"",""lost_gross_cap"":6000,""max_repair_wait_per_day"":1440,""min_profit_to_override_repair"":100,""qwen_auditor_numeric"":0,""repair_end_day"":24,""repair_roi_threshold"":0.8,""repair_start_day"":8,""repair_value_scale"":1.0,""soft_violation_profit_threshold"":200,""source_20260529_official_net"":""8142.11"",""source_20260529_trial"":""trial_017"",""unknown_soft_risk"":0.05,""verified_penalty_scale"":1.0,""wait_repair_strength"":0.5}","{""CROWN_FUSE_ALREADY_FAILED_DISCOUNT"":""0.0"",""CROWN_FUSE_AUDITOR_NUMERIC"":""0"",""CROWN_FUSE_CAP_DISCOUNT"":""0.0"",""CROWN_FUSE_ENABLE_TARGETED_REPAIR"":""1"",""CROWN_FUSE_GROSS_FLOOR_CURVE"":""off"",""CROWN_FUSE_LOST_GROSS_CAP"":""6000"",""CROWN_FUSE_MAX_REPAIR_WAIT_PER_DAY"":""1440"",""CROWN_FUSE_MIN_PROFIT_TO_OVERRIDE_REPAIR"":""100"",""CROWN_FUSE_REPAIR_END_DAY"":""24"",""CROWN_FUSE_REPAIR_ROI_THRESHOLD"":""0.8"",""CROWN_FUSE_REPAIR_START_DAY"":""8"",""CROWN_FUSE_REPAIR_VALUE_SCALE"":""1.0"",""CROWN_FUSE_SOFT_VIOLATION_PROFIT_THRESHOLD"":""200"",""CROWN_FUSE_UNKNOWN_SOFT_RISK"":""0.05"",""CROWN_FUSE_VERIFIED_PENALTY_SCALE"":""1.0"",""CROWN_FUSE_WAIT_REPAIR_STRENGTH"":""0.5""}",Full 20260509 sanity for a top-five executed 20260529 Fuse config.,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant fuse_targeted_repair --results-dir runs\fuse\sanity0509\20260509\top1_trial_017 --data-dir C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo\server\data --skip-income && C:\Anaconda3\python.exe C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo\calc_monthly_income.py --project-root C:\budostudy\only_for_codex\thelatstcargo\_offline_reference_20260509\demo --results-dir runs\fuse\sanity0509\20260509\top1_trial_017,0,2026-06-03T16:58:28,2026-06-03T17:20:59,1350.92,S0509,trial_017_0509,da9b1afc8268,runs/fuse/sanity0509/20260509/top1_trial_017,72,91844,4260.0,5680.0,12852,72,938,,,0,0,0.0,,true,true,false,false,top5_20260529_rank_1
A0,A0_auditor_score_off,fuse_targeted_repair,20260529,31,runs/fuse/auditor/20260529/A0,EXECUTED,-630.73,36661.81,10752.54,25909.27,26540.0,-5698.42,-17298.42,-11600.0,-630.73,True,50,223,1,4002,80.04,11,523,534,248,771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13676.09,kill_below_b0_or_no_penalty_gain,"{""already_failed_discount"":0.0,""auditor_weight"":0.0,""cap_discount"":0.0,""gross_floor_curve"":""off"",""lost_gross_cap"":6000,""max_repair_wait_per_day"":1440,""min_profit_to_override_repair"":100,""qwen_auditor_numeric"":0,""repair_end_day"":24,""repair_roi_threshold"":0.8,""repair_start_day"":8,""repair_value_scale"":1.0,""soft_violation_profit_threshold"":200,""unknown_soft_risk"":0.05,""verified_penalty_scale"":1.0,""wait_repair_strength"":0.5}","{""CROWN_FUSE_ALREADY_FAILED_DISCOUNT"":""0.0"",""CROWN_FUSE_AUDITOR_NUMERIC"":""0"",""CROWN_FUSE_CAP_DISCOUNT"":""0.0"",""CROWN_FUSE_ENABLE_TARGETED_REPAIR"":""1"",""CROWN_FUSE_GROSS_FLOOR_CURVE"":""off"",""CROWN_FUSE_LOST_GROSS_CAP"":""6000"",""CROWN_FUSE_MAX_REPAIR_WAIT_PER_DAY"":""1440"",""CROWN_FUSE_MIN_PROFIT_TO_OVERRIDE_REPAIR"":""100"",""CROWN_FUSE_REPAIR_END_DAY"":""24"",""CROWN_FUSE_REPAIR_ROI_THRESHOLD"":""0.8"",""CROWN_FUSE_REPAIR_START_DAY"":""8"",""CROWN_FUSE_REPAIR_VALUE_SCALE"":""1.0"",""CROWN_FUSE_SOFT_VIOLATION_PROFIT_THRESHOLD"":""200"",""CROWN_FUSE_UNKNOWN_SOFT_RISK"":""0.05"",""CROWN_FUSE_VERIFIED_PENALTY_SCALE"":""1.0"",""CROWN_FUSE_WAIT_REPAIR_STRENGTH"":""0.5"",""CROWN_TRIDENT_QWEN_AUDIT_SCALE"":""0.0""}",Qwen auditor numeric ablation; final default is off unless this beats A0.,existing run summarized: runs\fuse\auditor\20260529\A0,0,,,,A0,A0,88cf5f8eb43f,runs/fuse/auditor/20260529/A0,89,28556,1340.0,2753.0,2768,89,165,-5698.42,-11600.0,0,0,0.0,,false,false,false,false,
A1,A1_auditor_score_on_low_weight,fuse_targeted_repair,20260529,31,runs/fuse/auditor/20260529/A1,EXECUTED,-17992.01,33645.74,10597.76,23047.98,41040.0,-23059.7,-20159.71,2900.0,-17992.02,True,53,131,8,2584,48.75,11,371,382,174,545,174,675,9758,44514,9758,168,708,9669,6566,0,0,0,0,0,0,0,0,-42900.02,kill_below_b0_or_no_penalty_gain,"{""already_failed_discount"":0.0,""auditor_weight"":0.5,""cap_discount"":0.0,""gross_floor_curve"":""off"",""lost_gross_cap"":6000,""max_repair_wait_per_day"":1440,""min_profit_to_override_repair"":100,""qwen_auditor_numeric"":1,""repair_end_day"":24,""repair_roi_threshold"":0.8,""repair_start_day"":8,""repair_value_scale"":1.0,""soft_violation_profit_threshold"":200,""unknown_soft_risk"":0.05,""verified_penalty_scale"":1.0,""wait_repair_strength"":0.5}","{""CROWN_FUSE_ALREADY_FAILED_DISCOUNT"":""0.0"",""CROWN_FUSE_AUDITOR_NUMERIC"":""1"",""CROWN_FUSE_CAP_DISCOUNT"":""0.0"",""CROWN_FUSE_ENABLE_TARGETED_REPAIR"":""1"",""CROWN_FUSE_GROSS_FLOOR_CURVE"":""off"",""CROWN_FUSE_LOST_GROSS_CAP"":""6000"",""CROWN_FUSE_MAX_REPAIR_WAIT_PER_DAY"":""1440"",""CROWN_FUSE_MIN_PROFIT_TO_OVERRIDE_REPAIR"":""100"",""CROWN_FUSE_REPAIR_END_DAY"":""24"",""CROWN_FUSE_REPAIR_ROI_THRESHOLD"":""0.8"",""CROWN_FUSE_REPAIR_START_DAY"":""8"",""CROWN_FUSE_REPAIR_VALUE_SCALE"":""1.0"",""CROWN_FUSE_SOFT_VIOLATION_PROFIT_THRESHOLD"":""200"",""CROWN_FUSE_UNKNOWN_SOFT_RISK"":""0.05"",""CROWN_FUSE_VERIFIED_PENALTY_SCALE"":""1.0"",""CROWN_FUSE_WAIT_REPAIR_STRENGTH"":""0.5"",""CROWN_TRIDENT_QWEN_AUDIT_SCALE"":""0.5""}",Qwen auditor numeric ablation; final default is off unless this beats A0.,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant fuse_targeted_repair --results-dir runs\fuse\auditor\20260529\A1 --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,0,2026-06-03T16:21:57,2026-06-03T16:37:02,904.99,A1,A1,17beb6cb3447,runs/fuse/auditor/20260529/A1,19,26971,1420.0,1420.0,2848,19,165,-23059.7,2900.0,675,9758,1.0,,false,false,false,false,
A2,A2_auditor_score_on_high_weight,fuse_targeted_repair,20260529,31,runs/fuse/auditor/20260529/A2,EXECUTED,-11014.39,34555.52,11029.9,23525.62,34540.0,-16082.08,-19682.07,-3600.0,-11014.38,True,53,159,9,2768,52.23,11,409,420,178,587,178,693,10347,48169,10347,171,1071,10242,6650,0,0,0,0,0,0,0,0,-30483.58,kill_below_b0_or_no_penalty_gain,"{""already_failed_discount"":0.0,""auditor_weight"":1.5,""cap_discount"":0.0,""gross_floor_curve"":""off"",""lost_gross_cap"":6000,""max_repair_wait_per_day"":1440,""min_profit_to_override_repair"":100,""qwen_auditor_numeric"":1,""repair_end_day"":24,""repair_roi_threshold"":0.8,""repair_start_day"":8,""repair_value_scale"":1.0,""soft_violation_profit_threshold"":200,""unknown_soft_risk"":0.05,""verified_penalty_scale"":1.0,""wait_repair_strength"":0.5}","{""CROWN_FUSE_ALREADY_FAILED_DISCOUNT"":""0.0"",""CROWN_FUSE_AUDITOR_NUMERIC"":""1"",""CROWN_FUSE_CAP_DISCOUNT"":""0.0"",""CROWN_FUSE_ENABLE_TARGETED_REPAIR"":""1"",""CROWN_FUSE_GROSS_FLOOR_CURVE"":""off"",""CROWN_FUSE_LOST_GROSS_CAP"":""6000"",""CROWN_FUSE_MAX_REPAIR_WAIT_PER_DAY"":""1440"",""CROWN_FUSE_MIN_PROFIT_TO_OVERRIDE_REPAIR"":""100"",""CROWN_FUSE_REPAIR_END_DAY"":""24"",""CROWN_FUSE_REPAIR_ROI_THRESHOLD"":""0.8"",""CROWN_FUSE_REPAIR_START_DAY"":""8"",""CROWN_FUSE_REPAIR_VALUE_SCALE"":""1.0"",""CROWN_FUSE_SOFT_VIOLATION_PROFIT_THRESHOLD"":""200"",""CROWN_FUSE_UNKNOWN_SOFT_RISK"":""0.05"",""CROWN_FUSE_VERIFIED_PENALTY_SCALE"":""1.0"",""CROWN_FUSE_WAIT_REPAIR_STRENGTH"":""0.5"",""CROWN_TRIDENT_QWEN_AUDIT_SCALE"":""1.5""}",Qwen auditor numeric ablation; final default is off unless this beats A0.,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant fuse_targeted_repair --results-dir runs\fuse\auditor\20260529\A2 --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,0,2026-06-03T16:37:02,2026-06-03T16:51:54,892.71,A2,A2,2a3435b606ea,runs/fuse/auditor/20260529/A2,19,27009,1420.0,1420.0,2869,19,174,-16082.08,-3600.0,693,10347,1.0,,false,false,false,false,
B0,B0_rescue,best_rescue,20260529,31,runs/fuse/b0_rescue,EXECUTED,5067.69,60293.77,17086.08,43207.69,38140.0,0.0,0.0,0.0,5067.69,True,89,163,0,3306,37.15,5,2,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7440.46,keep_b0_reference,{},{},Immutable best_rescue reference.,existing run summarized: C:\budostudy\only_for_codex\thelatstcargo\runs\fuse\b0_rescue,0,,,,B0,,44136fa355b3,runs/fuse/b0_rescue,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,,false,false,false,false,
B10,B10_parameter_search_best,fuse_targeted_repair,20260529,31,runs/fuse/final/20260529/B10_parameter_search_best,EXECUTED,-4348.69,26174.6,7623.28,18551.32,22900.0,-9416.38,-24656.37,-15240.0,-4348.68,True,34,175,2,3466,101.94,12,415,427,207,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21073.03,kill_below_b0_or_no_penalty_gain,"{""already_failed_discount"":0.0,""cap_discount"":0.0,""gross_floor_curve"":""off"",""lost_gross_cap"":6000,""max_repair_wait_per_day"":1440,""min_profit_to_override_repair"":100,""qwen_auditor_numeric"":0,""repair_end_day"":24,""repair_roi_threshold"":0.8,""repair_start_day"":8,""repair_value_scale"":1.0,""soft_violation_profit_threshold"":200,""unknown_soft_risk"":0.05,""verified_penalty_scale"":1.0,""wait_repair_strength"":0.5}","{""CROWN_FUSE_ALREADY_FAILED_DISCOUNT"":""0.0"",""CROWN_FUSE_AUDITOR_NUMERIC"":""0"",""CROWN_FUSE_CAP_DISCOUNT"":""0.0"",""CROWN_FUSE_ENABLE_TARGETED_REPAIR"":""1"",""CROWN_FUSE_GROSS_FLOOR_CURVE"":""off"",""CROWN_FUSE_LOST_GROSS_CAP"":""6000"",""CROWN_FUSE_MAX_REPAIR_WAIT_PER_DAY"":""1440"",""CROWN_FUSE_MIN_PROFIT_TO_OVERRIDE_REPAIR"":""100"",""CROWN_FUSE_REPAIR_END_DAY"":""24"",""CROWN_FUSE_REPAIR_ROI_THRESHOLD"":""0.8"",""CROWN_FUSE_REPAIR_START_DAY"":""8"",""CROWN_FUSE_REPAIR_VALUE_SCALE"":""1.0"",""CROWN_FUSE_SOFT_VIOLATION_PROFIT_THRESHOLD"":""200"",""CROWN_FUSE_UNKNOWN_SOFT_RISK"":""0.05"",""CROWN_FUSE_VERIFIED_PENALTY_SCALE"":""1.0"",""CROWN_FUSE_WAIT_REPAIR_STRENGTH"":""0.5""}",Best executed Fuse parameter-search row.,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant fuse_targeted_repair --results-dir runs\fuse\final\20260529\B10_parameter_search_best --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,0,2026-06-03T20:05:04,2026-06-03T20:12:03,418.57,B10,B10,7264b55248a2,runs/fuse/final/20260529/B10_parameter_search_best,102,47030,2760.0,2760.0,2760,102,107,-9416.38,-15240.0,0,0,0.0,,false,false,false,false,
B11,B11_final_selected,best_rescue,20260529,31,runs/fuse/final/20260529/B11_final_selected_b0_fallback,EXECUTED,5067.69,60293.77,17086.08,43207.69,38140.0,0.0,0.0,0.0,5067.69,True,89,163,0,3306,37.15,6,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7440.46,kill_below_b0_or_no_penalty_gain,{},{},Explicit B0 fallback rerun after Fuse search.,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant best_rescue --results-dir runs\fuse\final\20260529\B11_final_selected_b0_fallback --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,0,2026-06-03T20:12:03,2026-06-03T20:13:34,90.87,B11,B11,44136fa355b3,runs/fuse/final/20260529/B11_final_selected_b0_fallback,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,,false,false,true,true,no_search_variant_beat_b0
B9c,B9c_reference_current_branch,crown_gold_contract_mpc,20260529,31,runs/fuse/b9c_reference,EXECUTED,-157.97,44423.0,15280.97,29142.03,29300.0,-5225.66,-14065.66,-8840.0,-157.97,True,79,254,47,3574,45.24,7,634,641,247,881,0,0,13410,62983,13410,244,5061,13410,8338,0,0,0,0,0,0,0,0,-12626.95,kill_below_b0_or_no_penalty_gain,{},"{""CROWN_GOLD_ENABLE_AUDITOR"":""0"",""CROWN_GOLD_ENABLE_FIREWALL"":""1"",""CROWN_GOLD_ENABLE_LINKER"":""1"",""CROWN_GOLD_ENABLE_REPAIR"":""1"",""CROWN_GOLD_ENABLE_VISIBLE_GRAPH_MPC"":""0"",""CROWN_TRIDENT_ENABLE_VISIBLE_GRAPH_MPC"":""0"",""CROWN_Y_FULL_REST_PERIOD_DAYS"":""10""}",Current-branch broad wait repair reference; used only for ledger contrast.,C:\Anaconda3\python.exe tools/run_local_eval.py --simulation-days 31 --variant crown_gold_contract_mpc --results-dir runs\fuse\b9c_reference --data-dir C:\budostudy\only_for_codex\thelatstcargo\demo\server\data,0,2026-06-02T21:17:12,2026-06-02T21:23:42,389.55,B9c,,44136fa355b3,runs/fuse/b9c_reference,0,0,0.0,0.0,0,0,0,-5225.66,-8840.0,0,13410,0.0,,false,false,false,false,
